,count_x,sending_count,receiving_count,active_count,new_non_zero_count,difficulty_mean,difficulty_latest,hash_rate_mean,count_y,rate,size_mean,size_sum,transfers_volume_sum,transfers_volume_mean,transfers_volume_median,volume_sum,volume_mean,volume_median,difficulty_ribbon,sopr,stock_to_flow_ratio,pi_cycle_top,utxo_count,utxo_created_count,utxo_spent_count,utxo_created_value_sum,utxo_spent_value_sum,utxo_created_value_mean,utxo_spent_value_mean,utxo_created_value_median,utxo_spent_value_median,block_height,block_count,block_interval_mean,block_interval_median,block_size_mean,block_size_sum,current,active_more_1y_percent,price_drawdown_relative
2020-12-05,746325787,713681,642967,1074607,468371,82279353027041900000000,82279353027041900000000,1.37997936545156e+20,282455,3.2691550925925927,684.120829866706,193233349,1524160.5792969,5.3961182464353605,0.02605007,69.64763484,0.000246579578481528,0.00011362,7.782579355220574e+22,1.00559815511146,29251.555225244814,13089.646678656121,115281928,812468,934992,1525130.22693174,1524230.22693174,1.87715728734147,1.63020670436938,0.00539063,0.00510078,660126,144,596.236111111111,360,1342303.16666667,193291656,18563293.75,0.611844938846104,-0.03537464824518377
2020-12-06,746755515,591411,582061,911079,429728,82279353027041900000000,82279353027041900000000,1.29217672598417e+20,258488,2.9917592592592595,709.323775184919,183351684,1331443.73099344,5.1508918440834295,0.0250974,48.40641585,0.000187267555360404,7.831e-05,7.790329063726888e+22,1.00718885498294,29482.041361791078,13153.806370628003,115133278,730589,879239,1332342.13740929,1331492.13740929,1.82365480100203,1.51436883192089,0.00529277,0.00453081,660262,136,636.75,445,1348579.64705882,183406832,18564143.75,0.6116627145720529,-0.02561177831988071
2020-12-07,747242504,636452,673261,1014436,486989,82279353027041900000000,82279353027041900000000,1.4225337660277e+20,300756,3.4809722222222224,599.5708315045998,180324525,1553172.94428458,5.164229289804969,0.03325728,68.46050775,0.000227628069764194,0.00012024,7.798078772233208e+22,1.01247572984265,29678.51491958565,13217.139376755149,115148934,859203,843547,1554178.90479233,1553241.40479233,1.8088611245449,1.84132171034018,0.00689342,0.0065,660412,150,578.4,392,1202576.08666667,180386413,18565081.25,0.610777196306389,-0.03230236573118805
2020-12-08,747779329,654268,737179,1060847,536825,82279353027041900000000,82279353027041900000000,1.37391454200564e+20,330826,3.8290046296296296,559.819968805362,185203001,1618048.77133927,4.890935934114201,0.03118769,72.19048212,0.000218212843367813,0.00011405,7.805828480739527e+22,1.01175822035482,29884.414594631562,13281.259930376986,115227051,934666,856549,1619020.96182139,1618120.96182139,1.73219199352646,1.88911663176466,0.00695994,0.00798826,660556,144,598.868055555556,446,1286537.52083333,185261403,18565981.25,0.610192761393612,-0.07618661975263807
2020-12-09,748309692,640704,748553,1058484,530363,82279353027041900000000,82279353027041900000000,1.3232017945413e+20,320940,3.714583333333333,552.3882594877559,177283488,1966245.75275958,6.126521320993309,0.03477163,72.45729357,0.000225765855206581,0.00011562,7.813578189245843e+22,1.00739918556384,30098.664812624927,13339.523506177193,115338499,941097,829649,1967186.96005315,1966318.21005315,2.09031264583051,2.3700603629404102,0.00728683,0.0101212,660695,139,621.820143884892,466,1275817.91366906,177338690,18566850.0,0.610346974163934,-0.06422999579283306
2020-12-10,748822558,608059,713590,993039,512866,82279353027041900000000,82279353027041900000000,1.23907511074607e+20,313519,3.6286921296296297,541.656142051989,169819492,1965042.46621517,6.26769818165777,0.03270801,72.83286894,0.00023230767175195098,0.00011978,7.821327897752165e+22,1.0145897445154002,30283.501484336743,13398.424696489954,115462581,902820,778738,1965927.79908411,1965115.29908411,2.17754125859431,2.5234614197382403,0.00719564,0.0099255,660825,130,664.038461538462,494,1306710.52307692,169872368,18567662.5,0.610044697233736,-0.07895783254332678
2020-12-11,749330847,676839,711673,1075098,508289,82279353027041900000000,82279353027041900000000,1.32026589122716e+20,304597,3.5254282407407413,600.544450536285,182924038,1420848.02162212,4.66468160100771,0.03475956,70.49629972,0.000231441214851098,0.00010985,7.829077606258483e+22,1.00873577808029,30461.926751662515,13455.763622531596,115504066,904183,862698,1421781.01792184,1420918.51792184,1.57244829633143,1.6470636513842,0.00714466,0.00717508,660963,138,623.202898550725,455,1325937.02173913,182979309,18568525.0,0.608692596081159,-0.08870642922818639
2020-12-12,749813135,605196,654876,963457,482288,82279353027041900000000,82279353027041900000000,1.2735099140003902e+20,295278,3.4175694444444447,579.231964453835,171034456,1419084.70184422,4.805927640542861,0.02721484,50.58835913,0.000171324511578919,8.518e-05,7.836827314764799e+22,1.01465135979439,30701.850888035697,13517.318552093398,115531445,831886,804507,1419960.29020335,1419135.29020335,1.7069169215533702,1.7639812831999695,0.00561329,0.00685146,661095,132,646.083333333333,404,1296116.38636364,171087363,18569350.0,0.607492266211672,-0.052383733111155406
2020-12-13,750262804,611100,611895,943850,449669,82225722522993000000000,80187763369133700000000,1.47440393643616e+20,276004,3.1944907407407417,663.456446283396,183116633,1657101.84499123,6.00390517887875,0.02584635,39.24154715,0.00014217745811654899,6.244e-05,7.84294296885088e+22,1.0364008171140602,30909.040626318714,13583.632324115824,115419484,778260,890221,1658116.08653838,1657141.08653838,2.13054260342091,1.86149404084871,0.00530122,0.00500132,661251,156,557.333333333333,397,1174223.99358974,183178943,18570325.0,0.606417097084267,-0.03480391804681249
2020-12-14,750767487,601599,696644,978879,504683,80187763369133700000000,80187763369133700000000,1.3310772150064498e+20,314205,3.636631944444445,540.4729109976099,169819291,2075064.99572103,6.6041756042106785,0.03163122,59.2358478,0.0001885261144794,9.998e-05,7.849058622936953e+22,1.00911870042395,31057.584358577253,13652.145483662414,115515427,884516,788573,2076030.48156883,2075124.23156883,2.3470807555418,2.63149287582613,0.00665094,0.00919846,661396,145,602.427586206897,437,1171579.11724138,169878972,18571231.25,0.605843235488437,-0.02987503699698368
