,outliers_cutoff,pca_n,top_features_n,avg_val_rmse,avg_val_r2,avg_test_rmse,avg_test_r2,tier
136,3.0,3.0,10,4396,0.7,9466,0.77,Tier 1
137,3.0,3.0,15,4391,0.73,9795,0.43,Tier 1
138,3.0,3.0,20,4350,0.72,12328,0.33,Tier 1
139,3.0,3.0,30,4506,0.71,9803,0.59,Tier 1
140,3.0,3.0,40,5866,0.55,18960,0.29,Tier 1
141,3.0,5.0,10,1717,0.96,10350,0.38,Tier 1
142,3.0,5.0,15,4138,0.75,9929,0.45,Tier 1
143,3.0,5.0,20,4325,0.73,8499,0.81,Tier 1
144,3.0,5.0,30,4417,0.73,14974,0.11,Tier 1
145,3.0,5.0,40,4510,0.73,18266,0.11,Tier 1
146,3.0,7.0,10,1480,0.97,12016,0.41,Tier 1
147,3.0,7.0,15,1417,0.97,10302,0.39,Tier 1
148,3.0,7.0,20,1494,0.97,12740,0.24,Tier 1
149,3.0,7.0,30,3600,0.81,20351,0.05,Tier 1
150,3.0,7.0,40,4357,0.75,19914,0.23,Tier 1
151,3.0,10.0,10,1524,0.97,9828,0.5,Tier 1
152,3.0,10.0,15,1423,0.97,10254,0.43,Tier 1
153,3.0,10.0,20,1406,0.97,8706,0.63,Tier 1
154,3.0,10.0,30,2259,0.93,12829,0.21,Tier 1
155,3.0,10.0,40,4310,0.76,19579,0.14,Tier 1
156,3.0,12.0,15,1392,0.97,10016,0.42,Tier 1
157,3.0,12.0,20,1384,0.97,9678,0.51,Tier 1
158,3.0,12.0,30,1442,0.97,16821,0.03,Tier 1
159,3.0,12.0,40,2863,0.89,22305,0.29,Tier 1
160,3.0,15.0,15,1395,0.97,10598,0.4,Tier 1
161,3.0,15.0,20,1327,0.97,8816,0.69,Tier 1
162,3.0,15.0,30,1374,0.97,10666,0.39,Tier 1
163,3.0,15.0,40,1441,0.97,20408,0.04,Tier 1
164,3.0,17.0,20,1333,0.97,10479,0.47,Tier 1
165,3.0,17.0,30,1358,0.97,11596,0.34,Tier 1
166,3.0,17.0,40,1365,0.97,23588,0.27,Tier 1
167,3.0,20.0,20,1329,0.97,8881,0.62,Tier 1
168,3.0,20.0,30,1335,0.97,15493,0.13,Tier 1
169,3.0,20.0,40,1306,0.98,14888,0.13,Tier 1
170,3.5,3.0,10,4660,0.73,8428,0.86,Tier 1
171,3.5,3.0,15,4685,0.74,10983,0.43,Tier 1
172,3.5,3.0,20,4767,0.73,12086,0.34,Tier 1
173,3.5,3.0,30,4946,0.72,8476,0.62,Tier 1
