,stock,463d-daily-flow,463-day-flow,463-day-sf
07.09.2019,17921850.0,1841.6576673866089,852687.5,21.01807520340101
08.09.2019,17924062.5,1842.3326133909286,853000.0,21.01296893317702
09.09.2019,17925887.5,1841.8736501079916,852787.5,21.0203450449262
10.09.2019,17928162.5,1841.8466522678186,852775.0,21.023320922869456
11.09.2019,17930462.5,1842.0896328293734,852887.5,21.023244566252878
12.09.2019,17932437.5,1842.3866090712745,853025.0,21.0221710969784
13.09.2019,17934312.5,1842.575593952484,853112.5,21.022212779674426
14.09.2019,17936250.0,1842.845572354212,853237.5,21.021403770931308
15.09.2019,17938087.5,1842.9535637149027,853287.5,21.022325417869123
16.09.2019,17940125.0,1843.925485961123,853737.5,21.01363123911038
17.09.2019,17941975.0,1844.141468682505,853837.5,21.013336846882456
18.09.2019,17944150.0,1844.924406047516,854200.0,21.006965581830954
19.09.2019,17946000.0,1845.05939524838,854262.5,21.00759426991118
20.09.2019,17947887.5,1845.0053995680344,854237.5,21.01041864820966
21.09.2019,17949962.5,1845.3563714902807,854400.0,21.008851240636705
22.09.2019,17952037.5,1845.3563714902807,854400.0,21.01127984550562
23.09.2019,17953462.5,1844.195464362851,853862.5,21.026175174574362
24.09.2019,17955425.0,1844.0064794816412,853775.0,21.030628678516003
25.09.2019,17957375.0,1844.0334773218146,853787.5,21.032604717215936
26.09.2019,17959512.5,1844.465442764579,853987.5,21.030181940602176
27.09.2019,17961162.5,1843.4395248380126,853512.5,21.043818924737483
28.09.2019,17963150.0,1843.6555075593953,853612.5,21.04368199856492
29.09.2019,17964850.0,1843.0075593952483,853312.5,21.0530725847799
30.09.2019,17966475.0,1841.900647948164,852800.0,21.06763015947467
01.10.2019,17968262.5,1841.5226781857446,852625.0,21.074050725700044
02.10.2019,17970112.5,1841.5766738660907,852650.0,21.0756025332786
03.10.2019,17971950.0,1842.2786177105831,852975.0,21.069726545326652
04.10.2019,17973787.5,1842.0086393088552,852850.0,21.074969220847745
05.10.2019,17975762.5,1842.1976241900647,852937.5,21.075122737598008
06.10.2019,17977625.0,1842.4136069114472,853037.5,21.0748355142652
07.10.2019,17979562.5,1842.6295896328293,853137.5,21.074636269065653
08.10.2019,17981587.5,1843.1965442764574,853400.0,21.070526716662762
09.10.2019,17983312.5,1843.7904967602594,853675.0,21.065759803203797
10.10.2019,17985337.5,1844.5464362850967,854025.0,21.059497672784754
11.10.2019,17987287.5,1845.05939524838,854262.5,21.055925432756325
12.10.2019,17988950.0,1844.3304535637146,853925.0,21.06619433791024
13.10.2019,17990725.0,1843.952483801296,853750.0,21.07259150805271
14.10.2019,17992412.5,1843.3315334773215,853462.5,21.08166732574659
15.10.2019,17994325.0,1843.7904967602594,853675.0,21.078659911558848
16.10.2019,17996112.5,1843.6285097192224,853600.0,21.082606021555765
17.10.2019,17997987.5,1844.0334773218146,853787.5,21.08017217398943
18.10.2019,17999987.5,1844.5464362850967,854025.0,21.076651737361317
19.10.2019,18001762.5,1844.5194384449246,854012.5,21.07903865575738
20.10.2019,18003587.5,1844.8704103671707,854175.0,21.077165100828285
21.10.2019,18005575.0,1845.572354211663,854500.0,21.07147454651843
22.10.2019,18007687.5,1846.8952483801295,855112.5,21.058851905451036
23.10.2019,18009787.5,1847.138228941685,855225.0,21.058537227045516
24.10.2019,18011450.0,1846.0313174946004,854712.5,21.073109378884713
25.10.2019,18013175.0,1845.1403887688987,854300.0,21.08530375746225
26.10.2019,18014925.0,1844.7624190064796,854125.0,21.0916727645251
27.10.2019,18016362.5,1844.1684665226785,853850.0,21.100149323651696
28.10.2019,18018037.5,1842.8725701943845,853250.0,21.116949897450922
29.10.2019,18019700.0,1841.9816414686825,852837.5,21.129113107713955
30.10.2019,18021375.0,1841.3066954643627,852525.0,21.138822908419108
31.10.2019,18023025.0,1840.091792656588,851962.5,21.154716316739293
01.11.2019,18024650.0,1839.14686825054,851525.0,21.1674936143977
02.11.2019,18026325.0,1838.255939524838,851112.5,21.179720659724772
03.11.2019,18028050.0,1838.0669546436288,851025.0,21.18392526659029
04.11.2019,18029700.0,1837.0410367170623,850550.0,21.197695608723766
05.11.2019,18031500.0,1837.3110151187907,850675.0,21.196696740823462
06.11.2019,18033150.0,1836.9060475161987,850487.5,21.203309866400154
07.11.2019,18034837.5,1836.5010799136069,850300.0,21.2099700105845
08.11.2019,18036437.5,1835.8261339092874,849987.5,21.219650288974837
09.11.2019,18038237.5,1835.232181425486,849712.5,21.228636156347
10.11.2019,18040312.5,1834.9622030237579,849587.5,21.234201892094692
11.11.2019,18042200.0,1834.719222462203,849475.0,21.239235998705084
12.11.2019,18043887.5,1834.8272138228947,849525.0,21.239972337482712
13.11.2019,18045575.0,1834.3952483801295,849325.0,21.2469608218291
14.11.2019,18047687.5,1834.719222462203,849475.0,21.245695870979134
15.11.2019,18049662.5,1834.9622030237579,849587.5,21.24520723292186
16.11.2019,18051512.5,1834.20626349892,849237.5,21.256141538733274
17.11.2019,18053437.5,1833.7742980561554,849037.5,21.263415926858354
18.11.2019,18055187.5,1833.369330453564,848850.0,21.27017435353714
19.11.2019,18057025.0,1833.2883369330455,848812.5,21.273278845445844
20.11.2019,18058800.0,1833.450323974082,848887.5,21.273490303485445
21.11.2019,18060512.5,1832.8023758099357,848587.5,21.283029151383918
22.11.2019,18062162.5,1832.1004319654428,848262.5,21.293128601111096
23.11.2019,18064325.0,1832.6673866090714,848525.0,21.28908989128193
24.11.2019,18065962.5,1831.8844492440603,848162.5,21.300119375709254
25.11.2019,18067525.0,1831.3444924406049,847912.5,21.30824230094497
26.11.2019,18069050.0,1830.5885529157665,847562.5,21.31884079345181
27.11.2019,18070787.5,1830.345572354212,847450.0,21.32372116349047
28.11.2019,18072825.0,1830.4265658747302,847487.5,21.325181787341997
29.11.2019,18074525.0,1830.075593952484,847325.0,21.33127784498274
30.11.2019,18076100.0,1829.535637149028,847075.0,21.33943275388838
01.12.2019,18077837.5,1829.6436285097195,847125.0,21.340224288033053
02.12.2019,18079650.0,1828.8876889848807,846775.0,21.35118537982345
03.12.2019,18081625.0,1828.158747300216,846437.5,21.362032046075463
04.12.2019,18083712.5,1828.5367170626348,846612.5,21.360082091866115
05.12.2019,18085525.0,1828.6987041036718,846687.5,21.360330700524102
06.12.2019,18087337.5,1828.4557235421166,846575.0,21.36531022059475
07.12.2019,18089275.0,1828.4557235421166,846575.0,21.367598854206655
08.12.2019,18091125.0,1828.3747300215985,846537.5,21.370730770934543
09.12.2019,18092975.0,1828.4827213822891,846587.5,21.371653845585957
10.12.2019,18094825.0,1828.5907127429807,846637.5,21.372576811209047
11.12.2019,18096475.0,1828.7526997840173,846712.5,21.372632387026293
12.12.2019,18098137.5,1828.7796976241898,846725.0,21.374280315332605
13.12.2019,18100037.5,1828.8336933045362,846750.0,21.37589312075583
14.12.2019,18101925.0,1828.8066954643627,846737.5,21.378437827543955
15.12.2019,18103475.0,1828.1047516198705,846412.5,21.388477840296545
16.12.2019,18105437.5,1827.9427645788337,846337.5,21.3926920407048
17.12.2019,18107200.0,1828.1047516198705,846412.5,21.392878767740317
18.12.2019,18108875.0,1827.915766738661,846325.0,21.397069683632175
19.12.2019,18110837.5,1827.6187904967605,846187.5,21.402865795110422
20.12.2019,18112787.5,1827.8347732181423,846287.5,21.402640946486862
21.12.2019,18114987.5,1829.0226781857446,846837.5,21.39133836184628
22.12.2019,18117100.0,1829.8056155507559,847200.0,21.38467894239849
23.12.2019,18118887.5,1829.9136069114472,847250.0,21.38552670404249
24.12.2019,18120450.0,1829.6436285097195,847125.0,21.390526781761842
25.12.2019,18122050.0,1829.2656587473002,846950.0,21.396835704587048
26.12.2019,18124137.5,1829.5626349892011,847087.5,21.3958268773887
27.12.2019,18125950.0,1829.319654427646,846975.0,21.400808760589154
