,value
07/22/2012 00:00:00,93380318
07/23/2012 00:00:00,95265668
07/24/2012 00:00:00,95487474
07/25/2012 00:00:00,95820183
07/26/2012 00:00:00,97040116
07/27/2012 00:00:00,97927340
07/28/2012 00:00:00,98481855
07/29/2012 00:00:00,96596504
07/30/2012 00:00:00,99812706
07/31/2012 00:00:00,102917968
08/01/2012 00:00:00,104803319
08/02/2012 00:00:00,115560889
08/03/2012 00:00:00,119658379
08/04/2012 00:00:00,116559042
08/05/2012 00:00:00,118777085
08/06/2012 00:00:00,120218658
08/07/2012 00:00:00,119220031
08/08/2012 00:00:00,121880307
08/09/2012 00:00:00,121994080
08/10/2012 00:00:00,125542191
08/11/2012 00:00:00,126207598
08/12/2012 00:00:00,127427528
08/13/2012 00:00:00,131863649
08/14/2012 00:00:00,135852228
08/15/2012 00:00:00,144281382
08/16/2012 00:00:00,148831777
08/17/2012 00:00:00,136820990
08/18/2012 00:00:00,127982050
08/19/2012 00:00:00,89390141
08/20/2012 00:00:00,111457494
08/21/2012 00:00:00,112899244
08/22/2012 00:00:00,110459378
08/23/2012 00:00:00,111124796
08/24/2012 00:00:00,115006401
08/25/2012 00:00:00,117224460
08/26/2012 00:00:00,114340983
08/27/2012 00:00:00,119553423
08/28/2012 00:00:00,121993313
08/29/2012 00:00:00,119554397
08/30/2012 00:00:00,118121119
08/31/2012 00:00:00,112684374
09/01/2012 00:00:00,109905478
09/02/2012 00:00:00,112899283
09/03/2012 00:00:00,117002683
09/04/2012 00:00:00,114895514
09/05/2012 00:00:00,121882394
09/06/2012 00:00:00,122215095
09/07/2012 00:00:00,122326499
09/08/2012 00:00:00,121660580
09/09/2012 00:00:00,121771483
09/10/2012 00:00:00,121438774
09/11/2012 00:00:00,122436901
09/12/2012 00:00:00,123545931
09/13/2012 00:00:00,125320379
09/14/2012 00:00:00,127538439
09/15/2012 00:00:00,128980187
09/16/2012 00:00:00,130314739
09/17/2012 00:00:00,131417707
09/18/2012 00:00:00,132090765
09/19/2012 00:00:00,136633818
09/20/2012 00:00:00,136150484
09/21/2012 00:00:00,135190745
09/22/2012 00:00:00,132750879
09/23/2012 00:00:00,132978056
09/24/2012 00:00:00,132021367
09/25/2012 00:00:00,130311013
09/26/2012 00:00:00,135301648
09/27/2012 00:00:00,135523454
09/28/2012 00:00:00,136188265
09/29/2012 00:00:00,136188872
09/30/2012 00:00:00,135523454
10/01/2012 00:00:00,134636230
10/02/2012 00:00:00,140178941
10/03/2012 00:00:00,143063401
10/04/2012 00:00:00,139411513
10/05/2012 00:00:00,138629905
10/06/2012 00:00:00,137408805
10/07/2012 00:00:00,129870804
10/08/2012 00:00:00,128871845
10/09/2012 00:00:00,132978579
10/10/2012 00:00:00,135753624
10/11/2012 00:00:00,134094855
10/12/2012 00:00:00,132062970
10/13/2012 00:00:00,131425870
10/14/2012 00:00:00,130754625
10/15/2012 00:00:00,129330539
10/16/2012 00:00:00,132210279
10/17/2012 00:00:00,131758551
10/18/2012 00:00:00,130884029
10/19/2012 00:00:00,129437547
10/20/2012 00:00:00,128659185
10/21/2012 00:00:00,125547549
10/22/2012 00:00:00,127455043
10/23/2012 00:00:00,128442989
10/24/2012 00:00:00,126466672
10/25/2012 00:00:00,117078999
10/26/2012 00:00:00,110923189
10/27/2012 00:00:00,115671819
10/28/2012 00:00:00,116891801
10/29/2012 00:00:00,119778121
10/30/2012 00:00:00,119778448
10/31/2012 00:00:00,121993419
11/01/2012 00:00:00,120361884
11/02/2012 00:00:00,118377095
11/03/2012 00:00:00,118225409
11/04/2012 00:00:00,118029393
11/05/2012 00:00:00,119556447
11/06/2012 00:00:00,119113023
11/07/2012 00:00:00,119775378
11/08/2012 00:00:00,119891139
11/09/2012 00:00:00,119788399
11/10/2012 00:00:00,119878133
11/11/2012 00:00:00,120000827
11/12/2012 00:00:00,120591194
11/13/2012 00:00:00,120564763
11/14/2012 00:00:00,121671417
11/15/2012 00:00:00,122551722
11/16/2012 00:00:00,127105558
11/17/2012 00:00:00,128321461
11/18/2012 00:00:00,127656386
11/19/2012 00:00:00,129204217
11/20/2012 00:00:00,129231730
11/21/2012 00:00:00,129436355
11/22/2012 00:00:00,131766297
11/23/2012 00:00:00,134848974
11/24/2012 00:00:00,135854054
11/25/2012 00:00:00,136522149
11/26/2012 00:00:00,135317141
11/27/2012 00:00:00,133882202
11/28/2012 00:00:00,135523454
11/29/2012 00:00:00,137182173
11/30/2012 00:00:00,137869236
12/01/2012 00:00:00,136951222
12/02/2012 00:00:00,137740744
12/03/2012 00:00:00,139737767
12/04/2012 00:00:00,139637776
12/05/2012 00:00:00,146416244
12/06/2012 00:00:00,149174378
12/07/2012 00:00:00,148289582
12/08/2012 00:00:00,148364427
12/09/2012 00:00:00,147404870
12/10/2012 00:00:00,147658219
12/11/2012 00:00:00,148181869
12/12/2012 00:00:00,149620174
12/13/2012 00:00:00,150045164
12/14/2012 00:00:00,149849018
12/15/2012 00:00:00,148455266
12/16/2012 00:00:00,147208668
