,l0,l1,outlier_cutoff,pca_n,avg_val_rmse,avg_val_r2,avg_test_rmse,avg_test_r2
141,40,60,3.5,3.0,8003,0.81,8997,0.83
142,40,60,3.5,5.0,7678,0.84,9410,0.66
143,40,60,3.5,7.0,7426,0.87,8771,0.67
144,40,80,1.0,3.0,2258,0.86,12270,0.67
145,40,80,1.0,5.0,2185,0.92,14664,0.62
146,40,80,1.0,7.0,2281,0.9,12573,0.7
147,40,80,1.5,3.0,2136,0.9,10907,0.75
148,40,80,1.5,5.0,2029,0.91,11098,0.64
149,40,80,1.5,7.0,1991,0.92,14433,0.77
150,40,80,2.0,3.0,2494,0.86,10115,0.77
151,40,80,2.0,5.0,2422,0.87,11547,0.81
152,40,80,2.0,7.0,2320,0.89,12902,0.69
153,40,80,2.5,3.0,5595,0.74,9881,0.83
154,40,80,2.5,5.0,5196,0.78,11084,0.71
155,40,80,2.5,7.0,5116,0.82,9243,0.62
156,40,80,3.0,3.0,8093,0.82,8810,0.8
157,40,80,3.0,5.0,7691,0.86,9956,0.59
158,40,80,3.0,7.0,7483,0.88,8301,0.76
159,40,80,3.5,3.0,7740,0.82,8534,0.82
160,40,80,3.5,5.0,7415,0.85,7007,0.85
161,40,80,3.5,7.0,7166,0.88,7509,0.82
162,40,100,1.0,3.0,2214,0.87,12927,0.73
163,40,100,1.0,5.0,2127,0.92,15286,0.73
164,40,100,1.0,7.0,2134,0.9,12949,0.68
165,40,100,1.5,3.0,2044,0.89,11055,0.75
166,40,100,1.5,5.0,1922,0.92,12781,0.75
167,40,100,1.5,7.0,2000,0.92,11017,0.65
168,40,100,2.0,3.0,2491,0.86,11074,0.78
169,40,100,2.0,5.0,2259,0.89,11789,0.75
170,40,100,2.0,7.0,2254,0.89,12156,0.69
171,40,100,2.5,3.0,5588,0.74,8004,0.79
172,40,100,2.5,5.0,5151,0.79,9207,0.64
173,40,100,2.5,7.0,4997,0.83,9053,0.58
174,40,100,3.0,3.0,7749,0.83,7761,0.8
175,40,100,3.0,5.0,7318,0.86,8662,0.83
176,40,100,3.0,7.0,6890,0.88,8870,0.72
177,40,100,3.5,3.0,7612,0.83,7665,0.77
178,40,100,3.5,5.0,7197,0.86,9100,0.62
179,40,100,3.5,7.0,6675,0.88,10393,0.73
180,60,20,1.0,3.0,2825,0.86,14524,0.73
181,60,20,1.0,5.0,2686,0.9,15516,0.7
182,60,20,1.0,7.0,2735,0.89,12531,0.58
183,60,20,1.5,3.0,2621,0.88,9596,0.65
184,60,20,1.5,5.0,2524,0.9,12316,0.72
185,60,20,1.5,7.0,2476,0.91,11509,0.76
186,60,20,2.0,3.0,2601,0.87,12582,0.8
187,60,20,2.0,5.0,2597,0.87,13315,0.76
188,60,20,2.0,7.0,2600,0.88,12491,0.68
189,60,20,2.5,3.0,6283,0.69,10060,0.8
190,60,20,2.5,5.0,6041,0.75,10598,0.68
191,60,20,2.5,7.0,5634,0.79,10270,0.69
192,60,20,3.0,3.0,9147,0.8,9827,0.72
193,60,20,3.0,5.0,8958,0.84,9311,0.69
194,60,20,3.0,7.0,8429,0.85,11768,0.75
195,60,20,3.5,3.0,8684,0.8,8852,0.8
196,60,20,3.5,5.0,8314,0.83,9490,0.74
197,60,20,3.5,7.0,8058,0.86,9356,0.69
198,60,40,1.0,3.0,2459,0.86,12951,0.68
199,60,40,1.0,5.0,2281,0.91,15329,0.65
200,60,40,1.0,7.0,2341,0.9,13138,0.66
201,60,40,1.5,3.0,2271,0.89,12748,0.75
202,60,40,1.5,5.0,2111,0.91,10770,0.7
203,60,40,1.5,7.0,2101,0.92,12106,0.66
204,60,40,2.0,3.0,2608,0.85,8836,0.76
205,60,40,2.0,5.0,2541,0.87,11343,0.76
206,60,40,2.0,7.0,2364,0.89,11556,0.65
207,60,40,2.5,3.0,6078,0.72,8569,0.78
208,60,40,2.5,5.0,5544,0.77,7614,0.8
209,60,40,2.5,7.0,5199,0.81,10486,0.55
210,60,40,3.0,3.0,8437,0.81,8387,0.8
211,60,40,3.0,5.0,8088,0.85,10071,0.58
212,60,40,3.0,7.0,7759,0.87,9769,0.68
213,60,40,3.5,3.0,8114,0.81,7447,0.77
